	TF	Target	Label
1383	35506	3	0
348	17501	34081	1
1345	31705	9	0
621	30692	9224	1
1226	27125	1	0
804	4083	13	0
194	9360	31031	1
645	31493	3554	1
1380	35506	1	0
1088	18698	9	0
64	4020	35319	1
1104	19196	10	0
867	7775	14	0
295	14462	15329	1
1112	19447	3	0
747	57	3	0
696	35506	7390	1
768	2814	4	0
815	4614	7	0
793	3696	6	0
668	31889	1444	1
694	35506	6697	1
758	2371	1	0
254	12838	24802	1
928	12032	1	0
1219	27124	4	0
617	30692	14733	1
1149	22072	3	0
1320	30927	6	0
765	2814	13	0
324	15512	31413	1
818	4614	16	0
314	15381	3696	1
45	3192	52	1
1274	28638	7	0
258	13131	8748	1
369	18236	36510	1
960	12404	47	0
19	2406	35423	1
723	36400	8100	1
430	21701	30698	1
981	13131	7	0
849	6834	1	0
781	3192	8	0
264	13337	36400	1
407	19447	27125	1
1210	27123	10	0
371	18324	2346	1
280	14278	32044	1
1067	17884	7	0
481	25191	3696	1
1291	29980	1	0
467	23143	28137	1
373	18324	21280	1
889	8241	4	0
628	30927	12524	1
589	29687	21692	1
387	19019	27123	1
1054	15577	3	0
1138	22061	1	0
1379	35422	4	0
1024	15081	6	0
674	33465	35578	1
393	19196	21784	1
779	3134	1	0
1134	21701	8	0
1335	31655	15	0
546	27437	23939	1
253	12722	17264	1
207	12032	23120	1
337	15516	22562	1
695	35506	19024	1
701	35847	28318	1
1042	15512	10	0
1220	27124	3	0
489	26349	28001	1
595	29816	26349	1
1336	31655	3	0
72	4083	19196	1
1187	25855	4	0
662	31705	409	1
949	12404	43	0
931	12032	3	0
828	6374	1	0
440	22072	8189	1
1114	19447	1	0
367	18227	34392	1
639	31265	6827	1
1402	36352	7	0
71	4083	14307	1
866	7540	13	0
1307	30692	7	0
831	6374	3	0
1116	19447	6	0
179	8682	2804	1
33	3049	27828	1
347	16387	11740	1
1128	21187	6	0
666	31837	11740	1
994	14118	4	0
366	18080	35178	1
10	1369	12673	1
42	3192	28543	1
1055	15756	1	0
727	36400	8189	1
825	5674	1	0
1326	31053	3	0
11	1369	22364	1
372	18324	5160	1
28	2814	14511	1
263	13337	8183	1
507	27018	15381	1
89	4946	15029	1
262	13259	7756	1
303	14753	12323	1
141	7775	36531	1
1353	31798	4	0
234	12404	17587	1
159	8224	31171	1
803	4083	6	0
787	3443	8	0
446	22072	35847	1
1089	18698	11	0
1111	19196	24	0
783	3192	1	0
368	18227	19017	1
1261	28420	3	0
673	33240	34180	1
351	17835	9360	1
543	27341	12154	1
375	18490	7756	1
1252	27833	4	0
1318	30927	3	0
178	8682	28790	1
411	19455	36759	1
924	9563	13	0
463	23130	37199	1
801	4020	6	0
17	2371	15029	1
204	9606	25191	1
648	31655	28318	1
1260	28420	1	0
1080	18324	4	0
521	27124	17701	1
56	3696	22072	1
1420	36454	8	0
1151	22072	16	0
841	6834	17	0
1377	35379	1	0
522	27124	3278	1
1003	14381	3	0
753	1369	6	0
485	25989	36510	1
1085	18698	4	0
746	5	4	0
943	12404	21	0
1156	22302	1	0
133	7540	15460	1
984	13357	3	0
327	15512	3527	1
150	8183	29409	1
1090	18698	3	0
1357	33240	3	0
869	7775	4	0
470	23143	8388	1
170	8486	7466	1
291	14462	29378	1
966	12670	3	0
558	28115	17701	1
1019	14753	6	0
1211	27123	1	0
760	2419	1	0
1368	34244	3	0
759	2371	3	0
398	19196	16677	1
22	2574	22057	1
887	8241	6	0
376	18644	34392	1
807	4083	4	0
1423	36966	1	0
910	9291	13	0
1388	35847	3	0
73	4083	22949	1
660	31705	15357	1
664	31798	14789	1
230	12404	16400	1
1253	27862	4	0
635	31031	9360	1
1398	36295	7	0
52	3443	14872	1
1108	19196	20	0
979	13131	9	0
745	5	7	0
566	28528	22061	1
824	5442	6	0
483	25855	14467	1
1408	36400	18	0
144	7775	14020	1
1163	22929	7	0
196	9563	20079	1
1206	27018	6	0
450	22184	35447	1
529	27125	152	1
687	34902	29541	1
61	3852	36400	1
420	20941	15329	1
605	30503	22421	1
1323	31031	7	0
1087	18698	13	0
1302	30692	6	0
1354	31889	7	0
356	17884	35599	1
699	35776	14747	1
726	36400	29399	1
175	8682	27828	1
462	23130	28444	1
690	35379	5160	1
23	2690	11	1
435	22071	19196	1
816	4614	10	0
1196	26349	9	0
12	1369	22363	1
404	19305	34180	1
104	6520	19196	1
1157	22302	4	0
359	18037	3595	1
385	19001	12154	1
646	31493	22284	1
418	19599	14423	1
1279	29062	6	0
738	36459	7756	1
955	12404	41	0
123	7382	5645	1
638	31158	34737	1
1385	35776	1	0
1313	30692	11	0
971	12722	8	0
401	19196	27324	1
48	3443	12056	1
432	21701	12776	1
136	7540	30292	1
733	36416	34392	1
548	27494	31645	1
1268	28541	4	0
1363	33882	3	0
69	4083	19455	1
156	8183	4400	1
749	978	3	0
1069	18037	1	0
658	31705	22498	1
717	36352	12458	1
852	7382	3	0
896	8486	6	0
325	15512	36347	1
1000	14307	3	0
606	30567	456	1
975	12931	3	0
506	27018	26349	1
945	12404	37	0
306	14835	15495	1
719	36352	25669	1
1356	31889	1	0
188	9291	6225	1
1405	36352	1	0
14	1987	26099	1
514	27123	35319	1
340	15577	30292	1
1245	27437	1	0
1216	27124	10	0
167	8401	9360	1
243	12404	25333	1
909	9291	9	0
193	9360	6448	1
750	1369	1	0
820	4614	8	0
1410	36400	1	0
861	7540	14	0
1419	36454	3	0
300	14554	17691	1
601	30121	2803	1
352	17835	12819	1
115	6834	3514	1
751	1369	3	0
978	13131	4	0
1280	29062	3	0
1052	15550	1	0
713	36295	23130	1
1371	34737	4	0
268	13591	36416	1
921	9563	10	0
515	27123	9060	1
1125	19599	6	0
534	27203	11911	1
252	12722	18187	1
58	3696	8183	1
890	8401	6	0
614	30692	4277	1
209	12032	8047	1
1130	21187	7	0
1132	21626	4	0
784	3192	9	0
38	3134	35922	1
1350	31705	4	0
60	3852	29409	1
161	8241	31171	1
1212	27123	14	0
163	8241	28494	1
1100	19196	13	0
919	9563	11	0
183	9142	35578	1
836	6520	4	0
1389	35847	8	0
358	18037	7390	1
242	12404	20878	1
106	6520	8189	1
1342	31655	9	0
1039	15512	9	0
584	29062	24802	1
25	2814	28120	1
37	3134	28662	1
764	2814	3	0
417	19578	16749	1
1246	27494	4	0
208	12032	2435	1
545	27350	13958	1
27	2814	6225	1
762	2690	3	0
1133	21626	3	0
1321	30927	8	0
464	23139	7775	1
1292	29982	3	0
1164	22929	1	0
906	8682	7	0
853	7390	9	0
786	3443	6	0
1381	35506	4	0
195	9554	26349	1
1306	30692	13	0
1407	36400	10	0
1152	22072	8	0
772	3049	6	0
767	2814	8	0
929	12032	6	0
907	8979	1	0
585	29146	13530	1
1374	34902	1	0
997	14278	1	0
1403	36352	3	0
1259	28230	1	0
626	30927	152	1
74	4083	9417	1
846	6834	15	0
304	14753	29374	1
1176	23280	1	0
1237	27341	8	0
299	14554	11740	1
1314	30828	3	0
1097	19196	8	0
1051	15527	3	0
1106	19196	3	0
112	6834	22156	1
231	12404	19196	1
644	31331	20941	1
236	12404	35578	1
1183	25166	4	0
1270	28541	9	0
665	31798	32044	1
339	15550	9060	1
32	3049	35612	1
1096	19019	3	0
679	34007	12154	1
138	7775	3595	1
1289	29687	3	0
705	36175	1444	1
734	36454	4110	1
482	25191	22562	1
1063	17835	6	0
789	3443	9	0
419	19599	15460	1
567	28528	29277	1
847	6834	14	0
297	14554	30005	1
412	19455	27324	1
568	28541	3599	1
851	7382	1	0
1004	14462	13	0
1284	29687	13	0
1137	21701	4	0
190	9291	13620	1
1352	31798	1	0
655	31655	11911	1
249	12709	36400	1
267	13378	17551	1
308	15058	23130	1
55	3696	12154	1
682	34590	17551	1
1122	19455	3	0
707	36175	27123	1
844	6834	10	0
892	8401	7	0
987	13591	7	0
361	18037	6697	1
1072	18041	3	0
651	31655	13490	1
165	8401	33240	1
1159	22302	3	0
400	19196	14307	1
1332	31331	3	0
1296	30121	3	0
1026	15329	6	0
414	19455	14747	1
1189	26203	4	0
438	22071	31115	1
508	27123	409	1
1272	28638	4	0
1341	31655	8	0
650	31655	27203	1
226	12404	19130	1
1361	33465	1	0
386	19001	22072	1
1179	23451	3	0
364	18041	34392	1
871	7775	9	0
259	13131	15549	1
86	4614	27482	1
1180	25166	7	0
1334	31493	4	0
608	30609	26349	1
1298	30567	1	0
1010	14462	6	0
795	3696	3	0
1120	19455	9	0
490	26349	3696	1
354	17884	15506	1
937	12154	8	0
773	3122	4	0
200	9563	12670	1
1265	28541	10	0
44	3192	18705	1
6	57	23451	1
185	9291	14511	1
434	22061	29277	1
1382	35506	6	0
1050	15512	6	0
105	6520	35195	1
225	12404	26928	1
