	TF	Target	Label
0	5	7756	1
1	5	21187	1
2	5	29211	1
3	5	15508	1
4	5	456	1
5	5	14733	1
6	57	23451	1
7	146	30943	1
8	978	34392	1
9	1369	27828	1
10	1369	12673	1
11	1369	22364	1
12	1369	22363	1
13	1987	8914	1
14	1987	26099	1
15	1987	22057	1
16	1987	7390	1
17	2371	15029	1
18	2371	31337	1
19	2406	35423	1
20	2419	12154	1
21	2531	11740	1
22	2574	22057	1
23	2690	11	1
24	2690	130	1
25	2814	28120	1
26	2814	13620	1
27	2814	6225	1
28	2814	14511	1
29	2814	34932	1
30	2814	14399	1
31	3049	28790	1
32	3049	35612	1
33	3049	27828	1
34	3122	28528	1
35	3122	15014	1
36	3122	22498	1
37	3134	28662	1
38	3134	35922	1
39	3134	15086	1
40	3134	12450	1
41	3192	2419	1
42	3192	28543	1
43	3192	501	1
44	3192	18705	1
45	3192	52	1
46	3443	27324	1
47	3443	4083	1
48	3443	12056	1
49	3443	7381	1
50	3443	19196	1
51	3443	21784	1
52	3443	14872	1
53	3456	11740	1
54	3599	27341	1
55	3696	12154	1
56	3696	22072	1
57	3696	27018	1
58	3696	8183	1
59	3735	18037	1
60	3852	29409	1
61	3852	36400	1
62	3921	9334	1
63	3931	146	1
64	4020	35319	1
65	4020	27081	1
66	4020	3118	1
67	4020	2921	1
68	4083	30927	1
69	4083	19455	1
70	4083	30698	1
71	4083	14307	1
72	4083	19196	1
73	4083	22949	1
74	4083	9417	1
75	4083	36759	1
76	4309	13715	1
77	4322	15287	1
78	4588	1711	1
79	4614	8648	1
80	4614	26806	1
81	4614	4110	1
82	4614	2980	1
83	4614	2814	1
84	4614	25482	1
85	4614	7466	1
86	4614	27482	1
87	4614	35760	1
88	4663	371	1
89	4946	15029	1
90	4946	35319	1
91	5442	34081	1
92	5442	32564	1
93	5674	35319	1
94	5674	12168	1
95	5697	35319	1
96	5798	14463	1
97	6281	12154	1
98	6374	35178	1
99	6374	35318	1
100	6374	212	1
101	6374	20996	1
102	6414	14462	1
103	6520	33895	1
104	6520	19196	1
105	6520	35195	1
106	6520	8189	1
107	6520	3443	1
108	6520	19455	1
109	6697	7390	1
110	6697	14462	1
111	6699	18578	1
112	6834	22156	1
113	6834	25166	1
114	6834	330	1
115	6834	3514	1
116	6834	30943	1
117	6834	35520	1
118	6834	34180	1
119	6834	12753	1
120	6834	14423	1
121	7382	23803	1
122	7382	11740	1
123	7382	5645	1
124	7390	7775	1
125	7390	14462	1
126	7390	4400	1
127	7390	21350	1
128	7390	19058	1
129	7390	3595	1
130	7390	5812	1
131	7540	9360	1
132	7540	8401	1
133	7540	15460	1
134	7540	35422	1
135	7540	30943	1
136	7540	30292	1
137	7540	14423	1
138	7775	3595	1
139	7775	18037	1
140	7775	15329	1
141	7775	36531	1
142	7775	35506	1
143	7775	14118	1
144	7775	14020	1
145	7775	8342	1
146	7775	13178	1
147	7860	14956	1
148	7864	14423	1
149	8119	26349	1
150	8183	29409	1
151	8183	8100	1
152	8183	26018	1
153	8183	12701	1
154	8183	31655	1
155	8183	36295	1
156	8183	4400	1
157	8183	36400	1
158	8189	26349	1
159	8224	31171	1
160	8224	35319	1
161	8241	31171	1
162	8241	23425	1
163	8241	28494	1
164	8401	6834	1
165	8401	33240	1
166	8401	7540	1
167	8401	9360	1
168	8456	15381	1
169	8456	36400	1
170	8486	7466	1
171	8486	35760	1
172	8486	2814	1
173	8486	30828	1
174	8486	14511	1
175	8682	27828	1
176	8682	2803	1
177	8682	9159	1
178	8682	28790	1
179	8682	2804	1
180	8682	36293	1
181	8818	2921	1
182	8979	7390	1
183	9142	35578	1
184	9224	6834	1
185	9291	14511	1
186	9291	28564	1
187	9291	35536	1
188	9291	6225	1
189	9291	14399	1
190	9291	13620	1
191	9334	3921	1
192	9360	35422	1
193	9360	6448	1
194	9360	31031	1
195	9554	26349	1
196	9563	20079	1
197	9563	14956	1
198	9563	19599	1
199	9563	31881	1
200	9563	12670	1
201	9563	36352	1
202	9563	8342	1
203	9563	14307	1
204	9606	25191	1
205	9764	7382	1
206	12032	31288	1
207	12032	23120	1
208	12032	2435	1
209	12032	8047	1
210	12032	17781	1
211	12032	34950	1
212	12032	8628	1
213	12032	7081	1
214	12154	28541	1
215	12154	13253	1
216	12154	3443	1
217	12154	7390	1
218	12154	3103	1
219	12154	21350	1
