	TF	Target	Label
0	3192	52	1
1	3192	501	1
2	3192	2419	1
3	3192	8665	1
4	3192	18705	1
5	3192	25352	1
6	3192	27990	1
7	3192	28543	1
8	26203	6827	1
9	26203	12663	1
10	26203	15549	1
11	26203	30776	1
12	27975	1635	1
13	9606	25191	1
14	14010	8183	1
15	14010	36295	1
16	14010	36400	1
17	30503	22421	1
18	12404	271	1
19	12404	295	1
20	12404	313	1
21	12404	1751	1
22	12404	3118	1
23	12404	6378	1
24	12404	7860	1
25	12404	8171	1
26	12404	8253	1
27	12404	8577	1
28	12404	9202	1
29	12404	9417	1
30	12404	9563	1
31	12404	14307	1
32	12404	14753	1
33	12404	16400	1
34	12404	16477	1
35	12404	17587	1
36	12404	19130	1
37	12404	19196	1
38	12404	20878	1
39	12404	20879	1
40	12404	21652	1
41	12404	22920	1
42	12404	25333	1
43	12404	26321	1
44	12404	26928	1
45	12404	27194	1
46	12404	27355	1
47	12404	28786	1
48	12404	31734	1
49	12404	32368	1
50	12404	34172	1
51	12404	35431	1
52	12404	35540	1
53	12404	35578	1
54	12404	36967	1
55	12404	36983	1
56	3122	409	1
57	3122	15014	1
58	3122	22498	1
59	3122	25781	1
60	3122	28528	1
61	3931	146	1
62	6373	36400	1
63	8224	21267	1
64	8224	31171	1
65	8224	35319	1
66	3443	4083	1
67	3443	7381	1
68	3443	12056	1
69	3443	14307	1
70	3443	14872	1
71	3443	19196	1
72	3443	19455	1
73	3443	21784	1
74	3443	22071	1
75	3443	27324	1
76	3443	36903	1
77	8342	26349	1
78	9563	431	1
79	9563	8342	1
80	9563	9919	1
81	9563	12670	1
82	9563	14307	1
83	9563	14956	1
84	9563	19599	1
85	9563	20079	1
86	9563	22962	1
87	9563	31881	1
88	9563	34992	1
89	9563	36352	1
90	12670	21349	1
91	12670	27123	1
92	14381	5595	1
93	14381	35506	1
94	18879	14467	1
95	18879	14733	1
96	18227	15604	1
97	18227	19017	1
98	18227	34392	1
99	2574	22057	1
100	2574	28137	1
101	13614	19599	1
102	29486	35922	1
103	14835	15495	1
104	20941	14118	1
105	20941	15329	1
106	20941	28553	1
107	36295	15058	1
108	36295	22562	1
109	36295	23130	1
110	36295	36400	1
111	36295	36991	1
112	26518	1711	1
113	26518	3125	1
114	26518	3279	1
115	26518	36404	1
116	30121	2803	1
117	30121	2804	1
118	30121	25669	1
119	30121	31890	1
120	30121	36352	1
121	33885	16749	1
122	26986	11740	1
123	33240	7317	1
124	33240	9360	1
125	33240	14423	1
126	33240	22591	1
127	33240	25166	1
128	33240	26830	1
129	33240	34180	1
130	146	4276	1
131	146	30943	1
132	8401	6834	1
133	8401	7540	1
134	8401	9360	1
135	8401	25166	1
136	8401	33240	1
137	8401	34180	1
138	19196	313	1
139	19196	5674	1
140	19196	8189	1
141	19196	14307	1
142	19196	14747	1
143	19196	16142	1
144	19196	16677	1
145	19196	17572	1
146	19196	18527	1
147	19196	18909	1
148	19196	19455	1
149	19196	21784	1
150	19196	25999	1
151	19196	27322	1
152	19196	27324	1
153	19196	28115	1
154	19196	29409	1
155	19196	35319	1
156	19196	35524	1
157	19196	35776	1
158	19196	36759	1
159	19196	36903	1
160	19196	36983	1
161	14278	13757	1
162	14278	22057	1
163	14278	31798	1
164	14278	32044	1
165	6374	212	1
166	6374	3258	1
167	6374	20996	1
168	6374	32093	1
169	6374	35178	1
170	6374	35318	1
171	36400	3852	1
172	36400	6373	1
173	36400	8100	1
174	36400	8183	1
175	36400	8189	1
176	36400	8979	1
177	36400	19001	1
178	36400	22072	1
179	36400	22852	1
180	36400	26349	1
181	36400	27018	1
182	36400	29399	1
183	36400	29409	1
184	36400	30724	1
185	36400	31655	1
186	36400	35237	1
187	30927	152	1
188	30927	8474	1
189	30927	12524	1
190	30927	15400	1
191	30927	22408	1
192	30927	22852	1
193	30927	27123	1
194	30927	28644	1
195	30927	34580	1
196	26959	1508	1
197	29980	11740	1
198	29980	34392	1
199	8682	2803	1
200	8682	2804	1
201	8682	9159	1
202	8682	12673	1
203	8682	18579	1
204	8682	22263	1
205	8682	27828	1
206	8682	28790	1
207	8682	34310	1
208	8682	36293	1
209	23451	15381	1
210	23451	30567	1
211	23451	36400	1
212	9142	27334	1
213	9142	35578	1
214	22594	28543	1
215	22594	33305	1
216	27125	152	1
217	27125	3258	1
