,TF,Target,Label
6353,175,108,0
8091,443,51,0
4494,532,336,1
2518,110,906,1
374,399,441,1
892,558,186,1
13894,532,370,0
3087,56,410,1
333,740,50,1
2663,110,273,1
11739,56,783,0
2797,895,706,1
4070,43,806,1
2742,110,178,1
9082,110,898,0
733,793,533,1
1278,259,432,1
1005,558,891,1
2613,110,312,1
2522,110,580,1
13293,49,129,0
2686,110,503,1
2253,62,204,1
2371,399,135,0
353,740,733,1
2592,399,717,0
8217,443,351,0
2424,399,265,0
2351,62,320,1
11678,56,638,0
1836,443,132,1
232,740,463,1
884,407,591,1
2242,62,534,1
9025,110,720,0
12910,908,350,0
796,407,476,1
10522,900,139,0
2020,740,173,0
4804,618,804,0
14186,654,42,0
10266,454,510,0
8457,62,51,0
484,399,701,1
387,399,604,1
2671,110,221,1
1156,558,250,1
10394,454,777,0
10453,900,9,0
12815,908,108,0
4540,654,179,1
8600,62,432,0
8938,110,486,0
2255,740,746,0
5083,259,424,0
3469,908,575,1
2963,454,298,1
1324,187,160,1
12089,624,561,0
1287,259,759,1
1445,175,722,1
4424,49,311,1
12916,908,362,0
2016,443,43,1
4434,532,24,1
605,399,165,1
2574,399,678,0
523,399,424,1
3268,56,207,1
2535,399,574,0
1997,443,455,1
4828,618,850,0
2978,454,669,1
2622,399,818,0
13923,532,421,0
1266,259,124,1
9131,895,106,0
13102,908,878,0
1994,443,413,1
11626,56,520,0
915,558,61,1
2032,740,199,0
3308,56,622,1
454,399,345,1
4054,43,481,1
1224,618,494,1
8364,443,689,0
2238,62,239,1
2378,399,149,0
3298,56,172,1
1037,558,432,1
2054,740,264,0
6597,175,851,0
6341,175,67,0
8582,62,378,0
8626,62,509,0
3210,407,227,0
8879,110,315,0
13195,43,816,0
943,558,248,1
8105,443,89,0
8681,62,662,0
160,740,694,1
3668,558,317,0
6489,175,518,0
6375,175,161,0
8211,443,338,0
9053,110,798,0
11474,56,157,0
9138,895,120,0
1969,443,550,1
2515,110,186,1
2128,740,425,0
6323,175,17,0
1407,175,667,1
3045,900,205,1
734,793,780,1
3147,56,666,1
3698,558,384,0
191,740,696,1
3671,558,326,0
3480,908,279,1
2300,62,88,1
673,793,614,1
2779,895,165,1
1832,443,668,1
2508,110,602,1
592,399,377,1
2600,110,154,1
1969,740,63,0
3269,56,784,1
2234,740,685,0
430,399,500,1
8631,62,521,0
4510,532,50,1
8686,62,682,0
13156,43,150,0
2249,740,727,0
3115,56,95,1
1061,558,329,1
2079,62,376,1
2063,443,155,1
8737,62,825,0
3195,56,795,1
2413,110,882,1
9056,110,807,0
2399,399,196,0
11436,56,74,0
2365,62,418,1
10206,454,378,0
10165,454,289,0
13214,43,367,0
1224,355,478,0
1650,175,596,1
11697,56,679,0
8269,443,465,0
2809,895,60,1
6442,175,360,0
8247,443,410,0
5127,259,514,0
2210,740,633,0
604,399,229,1
3707,558,400,0
23,355,168,1
3320,56,759,1
10905,900,881,0
1332,175,575,1
