,TF,Target,Label
4410,49,872,1
4426,49,192,1
4409,49,805,1
4414,49,306,1
4419,49,90,1
4423,49,215,1
4428,49,115,1
4415,49,69,1
4429,49,475,1
4416,49,378,1
4418,49,188,1
4417,49,376,1
4420,49,732,1
4432,49,28,1
4425,49,504,1
4431,49,502,1
4430,49,766,1
4421,49,263,1
4411,49,373,1
4408,49,664,1
4424,49,311,1
4413,49,32,1
4427,49,840,1
4422,49,304,1
4412,49,626,1
13370,49,266,0
13270,49,80,0
13283,49,112,0
13229,49,1,0
13641,49,764,0
13470,49,453,0
13353,49,231,0
13259,49,63,0
13669,49,822,0
13525,49,554,0
13685,49,851,0
13703,49,886,0
13266,49,76,0
13539,49,581,0
13523,49,551,0
13592,49,674,0
13455,49,428,0
13482,49,477,0
13549,49,597,0
13293,49,129,0
13488,49,490,0
13395,49,321,0
13435,49,394,0
13643,49,768,0
13484,49,481,0
3111,56,585,1
3238,56,270,1
3114,56,839,1
3183,56,237,1
3203,56,462,1
3105,56,503,1
3208,56,43,1
3159,56,608,1
3292,56,303,1
3090,56,550,1
3305,56,45,1
3149,56,547,1
3116,56,773,1
3283,56,518,1
3333,56,316,1
3222,56,799,1
3088,56,62,1
3133,56,188,1
3202,56,7,1
3263,56,163,1
3318,56,173,1
3181,56,55,1
3226,56,787,1
3120,56,160,1
3104,56,402,1
3087,56,410,1
3293,56,754,1
3217,56,231,1
3330,56,506,1
3161,56,298,1
3244,56,797,1
3164,56,607,1
3187,56,461,1
3252,56,339,1
3205,56,741,1
3307,56,20,1
3250,56,290,1
3143,56,285,1
3214,56,684,1
3094,56,168,1
3313,56,294,1
3260,56,359,1
3326,56,589,1
3178,56,450,1
3089,56,576,1
3147,56,666,1
3257,56,170,1
3325,56,77,1
3155,56,33,1
3125,56,610,1
3169,56,569,1
3323,56,535,1
3113,56,768,1
3331,56,900,1
3144,56,782,1
3196,56,566,1
3295,56,891,1
3242,56,665,1
3096,56,433,1
3182,56,156,1
3235,56,885,1
3209,56,267,1
3275,56,22,1
3158,56,516,1
3140,56,389,1
3289,56,500,1
3165,56,641,1
3151,56,92,1
3194,56,115,1
3274,56,239,1
3282,56,777,1
3138,56,630,1
3329,56,570,1
3170,56,422,1
3179,56,381,1
3137,56,190,1
3163,56,843,1
3184,56,21,1
3256,56,496,1
3306,56,635,1
3308,56,622,1
3197,56,443,1
3216,56,474,1
3267,56,761,1
3162,56,215,1
3296,56,694,1
3300,56,708,1
3109,56,178,1
3236,56,692,1
3121,56,467,1
3103,56,238,1
3175,56,626,1
3315,56,823,1
3190,56,411,1
3302,56,509,1
3122,56,846,1
3262,56,302,1
3324,56,790,1
3112,56,210,1
3082,56,578,1
3177,56,365,1
3166,56,252,1
3191,56,388,1
3102,56,865,1
3093,56,597,1
3153,56,902,1
3239,56,97,1
3132,56,644,1
3198,56,693,1
3246,56,743,1
3312,56,715,1
3285,56,404,1
3186,56,397,1
3276,56,502,1
3265,56,408,1
3277,56,675,1
3279,56,651,1
3332,56,879,1
3316,56,243,1
3327,56,127,1
3247,56,284,1
3130,56,184,1
3174,56,874,1
3180,56,86,1
3249,56,456,1
3314,56,794,1
3220,56,785,1
3229,56,46,1
3228,56,452,1
3281,56,866,1
3291,56,560,1
3127,56,511,1
3134,56,888,1
3124,56,872,1
3240,56,853,1
3199,56,68,1
3310,56,19,1
3201,56,555,1
3297,56,134,1
3232,56,64,1
3129,56,772,1
3092,56,727,1
3224,56,750,1
3245,56,344,1
3107,56,755,1
3108,56,494,1
3317,56,498,1
3167,56,206,1
3135,56,25,1
3218,56,468,1
3157,56,894,1
3215,56,840,1
3141,56,707,1
3264,56,312,1
3290,56,87,1
3254,56,63,1
3192,56,624,1
3284,56,505,1
3171,56,723,1
3255,56,803,1
3145,56,471,1
3099,56,558,1
3126,56,116,1
3110,56,179,1
3188,56,282,1
3233,56,517,1
3261,56,84,1
3266,56,446,1
3322,56,419,1
3299,56,102,1
3248,56,551,1
3259,56,123,1
3241,56,83,1
3185,56,655,1
3227,56,710,1
3303,56,307,1
3258,56,824,1
3128,56,507,1
3195,56,795,1
3100,56,744,1
3311,56,459,1
3119,56,251,1
3251,56,604,1
3304,56,70,1
3207,56,899,1
3189,56,398,1
3213,56,896,1
3131,56,322,1
3154,56,652,1
3294,56,698,1
3136,56,124,1
3106,56,771,1
3210,56,804,1
3320,56,759,1
3237,56,448,1
3168,56,385,1
3098,56,464,1
3081,56,110,1
3146,56,328,1
3148,56,817,1
3206,56,281,1
3280,56,248,1
3118,56,288,1
3123,56,345,1
3219,56,497,1
3230,56,660,1
3176,56,532,1
3139,56,639,1
3084,56,757,1
3271,56,24,1
3309,56,141,1
3097,56,579,1
3200,56,792,1
3204,56,621,1
3328,56,858,1
3321,56,73,1
3231,56,192,1
3142,56,49,1
3223,56,28,1
3270,56,512,1
3268,56,207,1
3287,56,680,1
3115,56,95,1
3301,56,862,1
3083,56,374,1
3288,56,146,1
3095,56,0,1
3319,56,820,1
3298,56,172,1
3085,56,76,1
