,TF,Target,Label
0,56,172,1
1,56,710,1
2,56,666,1
3,56,886,1
4,56,0,1
5,56,694,1
6,56,885,1
7,56,28,1
8,56,894,1
9,56,345,1
10,56,281,1
11,56,251,1
12,56,622,1
13,56,899,1
14,56,804,1
15,56,207,1
16,56,771,1
17,56,839,1
18,56,68,1
19,56,773,1
20,56,787,1
21,56,239,1
22,56,231,1
23,56,577,1
24,56,467,1
25,56,668,1
26,56,566,1
27,56,303,1
28,56,282,1
29,56,900,1
30,56,365,1
31,56,879,1
32,56,285,1
33,56,772,1
34,56,509,1
35,56,92,1
36,56,322,1
37,56,768,1
38,56,518,1
39,56,585,1
40,56,607,1
41,56,302,1
42,56,843,1
43,56,512,1
44,56,511,1
45,56,665,1
46,56,551,1
47,56,795,1
48,56,70,1
49,56,507,1
50,56,307,1
51,56,160,1
52,56,792,1
53,56,817,1
54,56,506,1
55,56,626,1
56,56,856,1
57,56,63,1
58,56,656,1
59,56,604,1
60,56,750,1
61,56,715,1
62,56,820,1
63,56,284,1
64,56,115,1
65,56,660,1
66,56,644,1
67,56,215,1
68,56,448,1
69,56,579,1
70,56,168,1
71,56,119,1
72,56,608,1
73,56,874,1
74,56,496,1
75,56,655,1
76,56,570,1
77,56,548,1
78,56,446,1
79,56,865,1
80,56,846,1
81,56,759,1
82,56,397,1
83,56,123,1
84,56,141,1
85,56,328,1
86,56,424,1
87,56,238,1
88,56,102,1
89,56,853,1
90,56,535,1
91,56,64,1
92,56,481,1
93,56,404,1
94,56,621,1
95,56,578,1
96,56,757,1
97,56,287,1
98,56,152,1
99,56,179,1
100,56,824,1
101,56,243,1
102,56,389,1
103,56,459,1
104,56,170,1
105,56,288,1
106,56,86,1
107,56,516,1
108,56,434,1
109,56,840,1
110,56,192,1
111,56,803,1
112,56,344,1
113,56,156,1
114,56,97,1
115,56,462,1
116,56,95,1
117,56,494,1
118,56,76,1
119,56,797,1
120,56,692,1
121,56,252,1
122,56,163,1
123,56,569,1
124,56,410,1
125,56,502,1
126,56,408,1
127,56,7,1
128,56,452,1
129,56,474,1
130,56,124,1
131,56,411,1
132,56,761,1
133,56,680,1
134,56,248,1
135,56,6,1
136,56,134,1
137,56,110,1
138,56,294,1
139,56,741,1
140,56,73,1
141,56,471,1
142,56,312,1
143,56,126,1
144,56,456,1
145,56,359,1
146,56,374,1
147,56,33,1
148,56,782,1
149,56,46,1
150,56,270,1
151,56,138,1
152,56,188,1
153,56,605,1
154,56,343,1
155,56,675,1
156,56,339,1
157,56,589,1
158,56,450,1
159,56,602,1
160,56,744,1
161,56,799,1
162,56,610,1
163,56,22,1
164,56,707,1
165,56,21,1
166,56,635,1
167,56,290,1
168,56,463,0
169,56,269,0
170,56,254,0
171,56,383,0
172,56,149,0
173,56,417,0
174,56,129,0
175,56,525,0
176,56,810,0
177,56,441,0
178,56,574,0
179,56,122,0
180,56,781,0
181,56,40,0
182,56,264,0
183,56,444,0
184,56,208,0
185,56,510,0
186,56,730,0
187,56,650,0
188,56,890,0
189,56,702,0
190,56,513,0
191,56,758,0
192,56,903,0
193,56,400,0
194,56,519,0
195,56,38,0
196,56,67,0
197,56,706,0
198,56,140,0
199,56,357,0
200,56,286,0
201,56,537,0
202,56,306,0
203,56,833,0
204,56,48,0
205,56,561,0
206,56,356,0
207,56,737,0
208,56,713,0
209,56,145,0
210,56,54,0
211,56,663,0
212,56,673,0
213,56,26,0
214,56,335,0
215,56,42,0
216,56,586,0
217,56,100,0
218,56,263,0
219,56,229,0
220,56,458,0
221,56,39,0
222,56,472,0
223,56,51,0
224,56,703,0
225,56,432,0
226,56,351,0
227,56,413,0
228,56,556,0
229,56,18,0
230,56,197,0
231,56,460,0
