,TF,Target,Label
0,361,424,1
1,297,151,1
2,297,410,1
3,297,711,1
4,297,299,1
5,297,796,1
6,297,231,1
7,297,767,1
8,297,511,1
9,297,433,1
10,297,424,1
11,355,558,1
12,355,190,1
13,355,159,1
14,355,821,1
15,355,155,1
16,355,410,1
17,355,860,1
18,355,312,1
19,355,608,1
20,355,812,1
21,355,805,1
22,355,597,1
23,355,465,1
24,355,7,1
25,355,138,1
26,355,454,1
27,355,219,1
28,355,755,1
29,355,852,1
30,355,644,1
31,355,20,1
32,355,576,1
33,355,306,1
34,355,424,1
35,355,707,1
36,355,16,1
37,355,561,1
38,355,110,1
39,355,797,1
40,355,131,1
41,355,385,1
42,355,248,1
43,355,151,1
44,355,61,1
45,355,105,1
46,355,97,1
47,355,73,1
48,355,842,1
49,355,770,1
50,355,827,1
51,355,467,1
52,355,578,1
53,355,346,1
54,355,744,1
55,355,586,1
56,355,238,1
57,355,231,1
58,355,583,1
59,355,481,1
60,355,900,1
61,355,158,1
62,355,272,1
63,355,735,1
64,355,468,1
65,355,629,1
66,374,909,1
67,374,684,1
68,740,444,1
69,740,320,1
70,740,494,1
71,740,841,1
72,740,165,1
73,740,56,1
74,740,361,1
75,740,292,1
76,740,24,1
77,740,784,1
78,740,470,1
79,740,205,1
80,740,159,1
81,740,514,1
82,740,330,1
83,740,208,1
84,740,434,1
85,740,565,1
86,740,210,1
87,740,897,1
88,740,153,1
89,740,485,1
90,740,857,1
91,740,667,1
92,740,234,1
93,740,227,1
94,740,90,1
95,740,839,1
96,740,127,1
97,740,211,1
98,740,462,1
99,740,696,1
100,740,368,1
101,740,568,1
102,740,108,1
103,740,162,1
104,740,236,1
105,740,376,1
106,740,255,1
107,740,440,1
108,740,76,1
109,740,722,1
110,740,595,1
111,740,408,1
112,740,908,1
113,740,417,1
114,740,856,1
115,740,157,1
116,740,46,1
117,740,797,1
118,740,706,1
119,740,669,1
120,740,519,1
121,740,549,1
122,740,500,1
123,740,723,1
124,740,537,1
125,740,344,1
126,740,869,1
127,740,889,1
128,740,447,1
129,740,651,1
130,740,801,1
131,740,288,1
132,740,206,1
133,740,450,1
134,740,717,1
135,740,68,1
136,740,673,1
137,740,694,1
138,740,50,1
139,740,223,1
140,740,515,1
141,740,399,1
142,740,724,1
143,740,518,1
144,740,842,1
145,740,6,1
146,740,89,1
147,740,398,1
148,740,456,1
149,740,136,1
150,740,831,1
151,740,654,1
152,740,91,1
153,740,446,1
154,740,892,1
155,740,312,1
156,740,624,1
157,740,109,1
158,740,452,1
159,740,290,1
160,740,327,1
161,740,235,1
162,740,184,1
163,740,443,1
164,740,92,1
165,740,586,1
166,740,467,1
167,740,7,1
168,740,472,1
169,740,231,1
170,740,258,1
171,740,168,1
172,740,503,1
173,740,806,1
174,740,125,1
175,740,698,1
176,740,556,1
177,740,709,1
178,740,217,1
179,740,114,1
180,740,523,1
181,740,752,1
182,740,175,1
183,740,99,1
184,740,124,1
185,740,2,1
186,740,748,1
187,740,822,1
188,740,180,1
189,740,96,1
190,740,670,1
191,740,424,1
192,740,279,1
193,740,707,1
194,740,794,1
195,740,115,1
196,740,190,1
197,740,626,1
198,740,516,1
199,740,221,1
200,740,214,1
201,740,413,1
202,740,871,1
203,740,820,1
204,740,576,1
205,740,534,1
206,740,141,1
207,740,868,1
208,740,237,1
209,740,411,1
210,740,495,1
211,740,753,1
212,740,591,1
213,740,791,1
214,740,43,1
215,740,659,1
216,740,546,1
217,740,375,1
218,740,22,1
219,740,760,1
220,740,609,1
221,740,86,1
222,740,634,1
223,740,431,1
224,740,849,1
225,740,733,1
226,740,11,1
227,740,640,1
228,740,432,1
229,740,493,1
230,740,4,1
231,740,865,1
232,740,840,1
233,740,358,1
234,740,906,1
235,740,486,1
236,740,102,1
237,740,41,1
238,740,388,1
239,740,355,1
240,740,85,1
241,740,340,1
242,740,154,1
243,740,49,1
244,740,864,1
245,399,202,1
246,399,891,1
247,399,645,1
248,399,669,1
249,399,448,1
250,399,271,1
251,399,820,1
252,399,903,1
253,399,503,1
254,399,624,1
255,399,735,1
256,399,511,1
257,399,605,1
258,399,710,1
259,399,883,1
260,399,519,1
261,399,576,1
262,399,124,1
263,399,117,1
264,399,525,1
265,399,841,1
266,399,452,1
267,399,481,1
268,399,485,1
269,399,731,1
270,399,665,1
271,399,799,1
272,399,811,1
273,399,901,1
274,399,465,1
275,399,234,1
276,399,158,1
277,399,313,1
278,399,644,1
279,399,19,1
280,399,22,1
281,399,578,1
282,399,433,1
283,399,385,1
284,399,334,1
285,399,18,1
286,399,441,1
287,399,395,1
288,399,73,1
289,399,83,1
290,399,813,1
291,399,138,1
292,399,88,1
293,399,363,1
294,399,737,1
295,399,345,1
296,399,601,1
297,399,270,1
298,399,707,1
299,399,586,1
300,399,146,1
301,399,431,1
302,399,906,1
303,399,540,1
304,399,573,1
305,399,666,1
306,399,655,1
307,399,79,1
308,399,325,1
309,399,110,1
310,399,140,1
311,399,211,1
312,399,407,1
313,399,97,1
314,399,604,1
315,399,186,1
316,399,515,1
317,399,563,1
318,399,229,1
319,399,297,1
320,399,671,1
321,399,558,1
322,399,28,1
323,399,488,1
324,399,754,1
325,399,743,1
326,399,622,1
327,399,217,1
328,399,59,1
329,399,340,1
330,399,95,1
331,399,772,1
332,399,468,1
333,399,513,1
334,399,889,1
335,399,664,1
336,399,498,1
337,399,791,1
338,399,721,1
339,399,831,1
340,399,44,1
341,399,529,1
342,399,780,1
343,399,302,1
344,399,871,1
345,399,577,1
346,399,143,1
347,399,602,1
348,399,774,1
349,399,450,1
350,399,804,1
351,399,738,1
352,399,446,1
353,399,500,1
354,399,119,1
355,399,718,1
356,399,311,1
357,399,387,1
358,399,548,1
359,399,62,1
360,399,827,1
361,399,679,1
362,399,469,1
363,399,579,1
364,399,836,1
365,399,288,1
366,399,589,1
367,399,373,1
368,399,221,1
369,399,48,1
370,399,757,1
371,399,320,1
372,399,377,1
373,399,462,1
374,399,24,1
375,399,98,1
376,399,656,1
377,399,424,1
378,399,856,1
379,399,35,1
380,399,753,1
381,399,225,1
382,399,816,1
383,399,177,1
384,399,767,1
385,399,648,1
386,399,333,1
387,399,206,1
388,399,156,1
389,399,137,1
390,399,259,1
391,399,33,1
392,399,763,1
393,399,378,1
394,399,182,1
395,399,46,1
396,399,777,1
397,399,908,1
398,399,355,1
399,399,812,1
400,399,219,1
401,399,243,1
402,399,880,1
403,399,852,1
404,399,575,1
405,399,151,1
406,399,595,1
407,399,766,1
408,399,453,1
409,399,68,1
410,399,834,1
411,399,641,1
412,399,792,1
413,399,509,1
414,399,516,1
415,399,11,1
416,399,879,1
417,399,458,1
418,399,505,1
419,399,91,1
420,399,104,1
421,399,309,1
422,399,848,1
423,399,798,1
424,399,744,1
425,399,547,1
426,399,800,1
427,399,103,1
428,399,323,1
429,399,300,1
430,399,801,1
431,399,7,1
432,399,701,1
433,399,661,1
434,399,335,1
435,399,376,1
436,399,192,1
437,399,585,1
438,399,761,1
439,399,418,1
440,399,318,1
441,399,49,1
442,399,45,1
443,399,216,1
444,399,241,1
445,399,126,1
446,793,399,1
447,793,443,1
448,793,15,1
449,793,778,1
450,793,388,1
451,793,349,1
452,793,424,1
453,793,208,1
454,793,259,1
455,793,284,1
456,793,321,1
457,793,260,1
458,793,473,1
459,793,23,1
460,793,533,1
461,793,105,1
462,793,295,1
463,793,726,1
464,793,183,1
465,793,153,1
466,793,670,1
467,793,633,1
468,793,166,1
469,793,487,1
470,793,439,1
471,793,17,1
472,793,201,1
473,793,525,1
474,793,48,1
475,793,543,1
476,793,378,1
477,793,475,1
478,793,16,1
479,793,566,1
480,793,510,1
481,793,107,1
482,793,873,1
483,793,461,1
484,793,738,1
485,793,669,1
486,793,80,1
487,793,882,1
488,793,833,1
489,793,3,1
490,793,486,1
491,793,867,1
492,793,708,1
493,793,507,1
494,793,639,1
495,793,313,1
496,793,200,1
497,793,21,1
498,793,816,1
499,793,119,1
500,793,523,1
501,793,902,1
502,793,211,1
503,793,382,1
504,793,826,1
505,793,584,1
506,793,542,1
507,793,270,1
508,793,687,1
509,793,467,1
510,793,649,1
511,793,909,1
512,793,821,1
513,793,572,1
514,793,614,1
515,793,678,1
516,793,45,1
517,793,292,1
518,793,171,1
519,793,588,1
520,793,187,1
521,793,780,1
522,793,311,1
523,407,668,1
524,407,591,1
525,407,585,1
526,407,393,1
527,407,217,1
528,407,398,1
529,407,373,1
530,407,476,1
531,407,76,1
532,407,705,1
533,407,569,1
534,407,601,1
535,407,424,1
536,407,356,1
537,407,70,1
538,407,836,1
539,407,290,1
540,407,441,1
541,407,188,1
542,407,55,1
543,407,359,1
544,407,469,1
545,407,240,1
546,407,578,1
547,407,450,1
548,407,566,1
549,407,325,1
550,407,252,1
551,407,60,1
552,407,78,1
553,407,687,1
554,407,525,1
555,407,146,1
556,407,174,1
557,407,62,1
558,407,452,1
559,407,301,1
560,407,909,1
561,407,614,1
562,407,431,1
563,407,550,1
564,407,443,1
565,407,604,1
566,407,899,1
567,407,790,1
568,407,334,1
569,407,474,1
570,407,385,1
571,407,160,1
572,407,211,1
573,407,68,1
574,407,629,1
575,407,231,1
576,407,881,1
577,407,234,1
578,407,645,1
579,407,666,1
580,407,22,1
581,407,384,1
582,407,744,1
583,407,694,1
584,407,455,1
585,407,805,1
586,407,511,1
587,407,891,1
588,407,747,1
589,407,901,1
590,407,395,1
591,407,495,1
592,407,317,1
593,407,812,1
594,558,423,1
595,558,263,1
596,558,681,1
597,558,843,1
598,558,172,1
599,558,380,1
600,558,69,1
601,558,860,1
602,558,556,1
603,558,287,1
604,558,83,1
605,558,248,1
606,558,828,1
607,558,447,1
608,558,483,1
609,558,493,1
610,558,11,1
611,558,175,1
612,558,635,1
613,558,122,1
614,558,76,1
615,558,279,1
616,558,167,1
617,558,52,1
618,558,605,1
619,558,513,1
620,558,672,1
621,558,499,1
622,558,498,1
623,558,767,1
624,558,448,1
625,558,707,1
626,558,480,1
627,558,460,1
628,558,456,1
629,558,426,1
630,558,424,1
631,558,594,1
632,558,419,1
633,558,655,1
634,558,468,1
635,558,373,1
636,558,797,1
637,558,146,1
638,558,838,1
639,558,136,1
640,558,534,1
641,558,502,1
642,558,127,1
643,558,487,1
644,558,577,1
645,558,244,1
646,558,55,1
647,558,401,1
648,558,494,1
649,558,357,1
650,558,799,1
651,558,677,1
652,558,652,1
653,558,486,1
654,558,376,1
655,558,232,1
656,558,467,1
657,558,329,1
658,558,212,1
659,558,732,1
660,558,135,1
661,558,744,1
662,558,760,1
663,558,115,1
664,558,559,1
665,558,602,1
666,558,128,1
667,558,781,1
668,558,0,1
669,558,905,1
670,558,743,1
671,558,463,1
672,558,323,1
673,558,250,1
674,558,86,1
675,558,381,1
676,558,366,1
677,558,634,1
678,558,461,1
679,558,434,1
680,558,854,1
681,558,489,1
682,558,280,1
683,558,666,1
684,558,763,1
685,558,626,1
686,558,405,1
687,558,485,1
688,558,97,1
689,558,28,1
690,558,899,1
691,558,671,1
692,558,211,1
693,558,310,1
694,558,138,1
695,558,612,1
696,558,874,1
697,558,720,1
698,558,131,1
699,558,624,1
700,558,636,1
701,558,608,1
702,558,651,1
703,558,288,1
704,558,706,1
705,558,417,1
706,558,896,1
707,558,522,1
708,558,909,1
709,558,648,1
710,558,45,1
711,558,252,1
712,558,4,1
713,558,792,1
714,558,418,1
715,558,446,1
716,558,855,1
717,558,235,1
718,558,8,1
719,558,831,1
720,558,592,1
721,558,290,1
722,558,395,1
723,558,869,1
724,558,190,1
725,558,583,1
726,558,737,1
727,558,276,1
728,558,224,1
729,558,439,1
730,558,145,1
731,558,877,1
732,558,466,1
733,558,327,1
734,558,777,1
735,558,78,1
736,558,180,1
737,558,459,1
738,558,791,1
739,558,355,1
740,558,306,1
741,558,753,1
742,558,472,1
743,558,579,1
744,558,474,1
745,558,757,1
746,558,892,1
747,558,496,1
748,558,65,1
749,558,527,1
750,558,390,1
751,558,403,1
752,558,565,1
753,558,22,1
754,558,41,1
755,558,443,1
756,558,539,1
757,558,330,1
758,558,902,1
759,558,580,1
760,558,102,1
761,558,492,1
762,558,178,1
763,558,549,1
764,558,643,1
765,558,722,1
766,558,834,1
767,558,462,1
768,558,716,1
769,558,92,1
770,558,61,1
771,558,754,1
772,558,215,1
773,558,696,1
774,558,312,1
775,558,101,1
776,558,540,1
777,558,647,1
778,558,267,1
779,558,165,1
780,558,606,1
781,558,736,1
782,558,786,1
783,558,591,1
784,558,866,1
785,558,495,1
786,558,109,1
787,558,68,1
788,584,322,1
789,584,205,1
790,584,383,1
791,584,515,1
792,584,770,1
793,584,166,1
794,618,722,1
795,618,871,1
796,618,284,1
797,618,770,1
798,618,450,1
799,618,385,1
800,618,644,1
801,618,538,1
802,618,204,1
803,618,879,1
804,618,467,1
805,618,190,1
806,618,24,1
807,618,461,1
808,618,273,1
809,618,205,1
810,618,803,1
811,618,715,1
812,618,166,1
813,618,774,1
814,618,555,1
815,618,494,1
816,618,219,1
817,618,372,1
818,618,635,1
819,618,903,1
820,618,679,1
821,618,515,1
822,618,596,1
823,618,908,1
824,618,482,1
825,618,901,1
826,618,857,1
827,618,97,1
828,618,580,1
829,618,17,1
830,618,309,1
831,618,570,1
832,618,781,1
833,618,211,1
834,618,451,1
835,618,184,1
836,618,50,1
837,618,568,1
838,259,387,1
839,259,285,1
840,259,287,1
841,259,892,1
842,259,432,1
843,259,152,1
844,259,452,1
845,259,211,1
846,259,630,1
847,259,385,1
848,259,515,1
849,259,601,1
850,259,241,1
851,259,98,1
852,259,513,1
853,259,903,1
854,259,138,1
855,259,184,1
856,259,449,1
857,259,143,1
858,259,770,1
859,259,500,1
860,259,231,1
861,259,466,1
862,259,65,1
863,259,759,1
864,259,371,1
865,259,97,1
866,259,124,1
867,259,675,1
868,515,908,1
869,515,461,1
870,515,184,1
871,515,901,1
872,515,383,1
873,515,385,1
874,515,892,1
875,515,578,1
876,515,424,1
877,515,97,1
878,515,452,1
879,515,903,1
880,515,387,1
881,515,558,1
882,187,658,1
883,187,645,1
884,175,523,1
885,175,236,1
886,175,411,1
887,175,258,1
888,175,698,1
889,175,640,1
890,175,668,1
891,175,79,1
892,175,892,1
893,175,376,1
894,175,666,1
895,175,349,1
896,175,136,1
897,175,155,1
898,175,503,1
899,175,577,1
900,175,248,1
901,175,569,1
902,175,618,1
903,175,684,1
904,175,694,1
905,175,509,1
906,175,702,1
907,175,529,1
908,175,662,1
909,175,891,1
910,175,732,1
911,175,548,1
912,175,424,1
913,175,190,1
914,175,856,1
915,175,374,1
916,175,553,1
917,175,799,1
918,175,384,1
919,175,33,1
920,175,122,1
921,175,84,1
922,175,532,1
923,175,585,1
924,175,767,1
925,175,328,1
926,175,522,1
927,175,581,1
928,175,81,1
929,175,69,1
930,175,839,1
931,175,749,1
932,175,866,1
933,175,899,1
934,175,841,1
935,175,85,1
936,175,540,1
937,175,889,1
938,175,840,1
939,175,511,1
940,175,590,1
941,175,109,1
942,175,757,1
943,175,232,1
944,175,805,1
945,175,632,1
946,175,358,1
947,175,408,1
948,175,333,1
949,175,209,1
950,175,909,1
951,175,465,1
952,175,302,1
953,175,750,1
954,175,855,1
955,175,152,1
956,175,857,1
957,175,191,1
958,175,453,1
959,175,771,1
960,175,380,1
961,175,159,1
962,175,131,1
963,175,610,1
964,175,436,1
965,175,221,1
966,175,784,1
967,175,235,1
968,175,905,1
969,175,498,1
970,175,719,1
971,175,886,1
972,175,514,1
973,175,439,1
974,175,318,1
975,175,359,1
976,175,212,1
977,175,620,1
978,175,822,1
979,175,566,1
980,175,306,1
981,175,162,1
982,175,636,1
983,175,817,1
984,175,241,1
985,175,40,1
986,175,18,1
987,175,480,1
988,175,96,1
989,175,217,1
990,175,183,1
991,175,194,1
992,175,105,1
993,175,50,1
994,175,803,1
995,175,655,1
996,175,877,1
997,175,753,1
998,175,294,1
999,175,395,1
1000,175,795,1
1001,175,86,1
1002,175,257,1
1003,175,343,1
1004,175,160,1
1005,175,534,1
1006,175,747,1
1007,175,344,1
1008,175,644,1
